Mã đơn hàng,Ngày tạo đơn,order_date,order_hour,order_weekday,Siêu thị,Số chuyến,Giá trị đơn hàng,Tổng phí trả tài xế,profit,fee_ratio,total_process_time,delay_assign,delay_arrive_store,delay_pickup,multi_trip,is_completed,sla_30m,delivery_speed_cat
"43856/17, 95425/6",2023-03-03,2023-03-03,16,Friday,CM Rạch Miễu,1,1553800,16000.0,1537800.0,0.010297335564422706,145.16666666666666,0.48333333333333334,45.85,0.0,0,1,0,slow
8/96086,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,3895000,72000.0,3823000.0,0.01848523748395379,282.71666666666664,0.2833333333333333,11.566666666666666,0.0,0,1,0,slow
9/32165,2023-03-03,2023-03-03,8,Friday,CM Rạch Miễu,1,1460500,28000.0,1432500.0,0.019171516603902775,631.9666666666667,0.16666666666666666,362.35,0.0,0,1,0,slow
19/90038,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,1640000,24000.0,1616000.0,0.014634146341463415,11.466666666666667,0.21666666666666667,9.533333333333333,0.0,0,1,1,very_fast
19/90039,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,1640000,40000.0,1600000.0,0.024390243902439025,11.85,0.25,10.05,0.0,0,1,1,very_fast
20/71770,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,1640000,24000.0,1616000.0,0.014634146341463415,12.3,0.23333333333333334,8.783333333333333,0.0,0,1,1,very_fast
8/95889,2023-03-02,2023-03-02,17,Thursday,CM Rạch Miễu,1,1001600,8000.0,993600.0,0.007987220447284345,146.25,0.23333333333333334,144.66666666666666,0.0,0,1,0,slow
12/6800,2023-03-02,2023-03-02,17,Thursday,CM Rạch Miễu,1,312779,8000.0,304779.0,0.02557716470734928,144.4,0.25,141.48333333333332,0.0,0,1,0,slow
6/94965,2023-03-02,2023-03-02,17,Thursday,CM Rạch Miễu,1,212500,8000.0,204500.0,0.03764705882352941,148.88333333333333,0.25,145.03333333333333,0.0,0,1,0,slow
89970/19,2023-03-02,2023-03-02,14,Thursday,CM Rạch Miễu,1,2667000,20000.0,2647000.0,0.0074990626171728535,320.7,0.21666666666666667,128.61666666666667,0.0,0,1,0,slow
89893/19,2023-03-02,2023-03-02,13,Thursday,CM Rạch Miễu,1,708000,8000.0,700000.0,0.011299435028248588,360.21666666666664,0.38333333333333336,7.966666666666667,0.0,0,1,0,slow
6715/12,2023-03-02,2023-03-02,13,Thursday,CM Rạch Miễu,1,1205514,12000.0,1193514.0,0.009954260174498181,357.5833333333333,0.4,8.75,0.0,0,1,0,slow
95048/6,2023-03-02,2023-03-02,13,Thursday,CM Rạch Miễu,1,1257742,20000.0,1237742.0,0.015901512392843684,357.15,0.4166666666666667,166.73333333333332,0.0,0,1,0,slow
95800/8,2023-03-02,2023-03-02,13,Thursday,CM Rạch Miễu,1,2326800,16000.0,2310800.0,0.006876396768093519,356.8333333333333,0.43333333333333335,167.06666666666666,0.0,0,1,0,slow
71648/20,2023-03-01,2023-03-01,20,Wednesday,CM Rạch Miễu,1,3600500,32000.0,3568500.0,0.008887654492431606,36.1,0.2,0.5666666666666667,0.0,0,1,0,normal
62712/16,2023-03-01,2023-03-01,19,Wednesday,CM Rạch Miễu,1,1396100,12000.0,1384100.0,0.008595372824296253,75.03333333333333,0.4166666666666667,4.883333333333334,0.0,0,1,0,slow
71632/20,2023-03-01,2023-03-01,19,Wednesday,CM Rạch Miễu,1,737600,8000.0,729600.0,0.010845986984815618,74.75,0.43333333333333335,4.533333333333333,0.0,0,1,0,slow
85094/4,2023-03-01,2023-03-01,19,Wednesday,CM Rạch Miễu,1,871200,8000.0,863200.0,0.009182736455463728,74.26666666666667,0.45,3.933333333333333,0.0,0,1,0,slow
06481/12,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,408600,20000.0,388600.0,0.048947626040137054,140.25,1.75,69.46666666666667,0.0,0,1,0,slow
86748/14,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,1140493,8000.0,1132493.0,0.007014510391558738,140.98333333333332,1.7666666666666666,68.66666666666667,0.0,0,1,0,slow
71641/20,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,4446900,32000.0,4414900.0,0.007196024196631361,139.85,1.8,68.36666666666666,0.0,0,1,0,slow
95566/8,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,429906,8000.0,421906.0,0.018608719115341493,139.35,1.8166666666666667,67.23333333333333,0.0,0,1,0,slow
85092/4,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,929600,8000.0,921600.0,0.008605851979345954,138.2,1.8333333333333333,66.63333333333334,0.0,0,1,0,slow
85105/4+71610/20+85104/4,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,3075000,24000.0,3051000.0,0.007804878048780488,139.61666666666667,1.85,66.31666666666666,0.0,0,1,0,slow
85084/4,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,888769,8000.0,880769.0,0.009001214038743476,137.65,1.8666666666666667,66.05,0.0,0,1,0,slow
95548/8,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,863000,12000.0,851000.0,0.013904982618771726,137.35,1.8833333333333333,65.68333333333334,0.0,0,1,0,slow
71584/20+06453/12,2023-03-01,2023-03-01,17,Wednesday,CM Rạch Miễu,1,5050700,32000.0,5018700.0,0.006335755439840022,34.483333333333334,0.25,1.5833333333333333,0.0,0,1,0,normal
71571/20+94760/6,2023-03-01,2023-03-01,16,Wednesday,CM Rạch Miễu,1,1903509,20000.0,1883509.0,0.010506911183503729,41.3,0.2,0.55,0.0,0,1,0,normal
32162/9,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,532500,40000.0,492500.0,0.07511737089201878,162.81666666666666,0.25,113.4,0.0,0,1,0,slow
19/89685,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,2809700,16000.0,2793700.0,0.005694558137879489,209.25,0.23333333333333334,9.566666666666666,0.0,0,1,0,slow
12/06400,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,2585875,16000.0,2569875.0,0.006187460724126263,207.88333333333333,0.2833333333333333,12.983333333333333,0.0,0,1,0,slow
8/95458,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,1325625,12000.0,1313625.0,0.009052333804809052,207.63333333333333,0.3,12.616666666666667,0.0,0,1,0,slow
19/89647,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,2936200,24000.0,2912200.0,0.008173830120563995,207.28333333333333,0.31666666666666665,12.333333333333334,0.0,0,1,0,slow
43685/17,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,366000,8000.0,358000.0,0.02185792349726776,328.3333333333333,1.0666666666666667,321.01666666666665,0.0,0,1,0,slow
48736/13,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,405635,8000.0,397635.0,0.019722164014446486,328.0,1.0833333333333333,321.71666666666664,0.0,0,1,0,slow
1052/10,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1018000,12000.0,1006000.0,0.011787819253438114,523.15,1.05,515.0,0.0,0,1,0,slow
7167/12,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1234600,12000.0,1222600.0,0.00971974728657055,522.45,1.0666666666666667,515.55,0.0,0,1,0,slow
1073/10,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1225449,12000.0,1213449.0,0.00979232917893768,522.2333333333333,1.0833333333333333,515.3,0.0,0,1,0,slow
1069/10,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,2490000,40000.0,2450000.0,0.01606425702811245,521.8833333333333,1.1,512.6166666666667,0.0,0,1,0,slow
"85646/4, 43814//17",2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,429800,12000.0,417800.0,0.02791996277338297,521.6666666666666,1.1166666666666667,515.9833333333333,0.0,0,1,0,slow
95383/6,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,2241200,24000.0,2217200.0,0.010708548991611637,521.35,1.1333333333333333,513.6833333333333,0.0,0,1,0,slow
7146/12,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,423800,8000.0,415800.0,0.018876828692779613,521.1,1.15,513.35,0.0,0,1,0,slow
1075/10,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1421043,12000.0,1409043.0,0.008444501679400272,520.9,1.15,513.1,0.0,0,1,0,slow
"43783/17, 43782/17",2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1278100,16000.0,1262100.0,0.01251858227055786,520.7,1.1833333333333333,514.2833333333333,0.0,0,1,0,slow
17/43756,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,421000,8000.0,413000.0,0.019002375296912115,576.9333333333333,0.15,574.5666666666667,0.0,0,1,0,slow
17/43783-17/43782,2023-03-03,2023-03-03,13,Friday,CM Rạch Miễu,1,1278100,16000.0,1262100.0,0.01251858227055786,620.5,1.1166666666666667,33.93333333333333,581.55,0,1,0,slow
12/7109,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,344933,20000.0,324933.0,0.057982274818587955,671.25,0.45,663.6333333333333,0.0,0,1,0,slow
17/43746,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,441500,8000.0,433500.0,0.01812004530011325,671.05,0.4666666666666667,665.8333333333334,0.0,0,1,0,slow
12/7104,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,1182394,12000.0,1170394.0,0.010148901296860437,670.8,0.48333333333333334,664.65,0.0,0,1,0,slow
6/95354,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,395000,8000.0,387000.0,0.020253164556962026,670.4333333333333,0.5,665.5333333333333,0.0,0,1,0,slow
16/63097,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,361700,8000.0,353700.0,0.02211777716339508,670.2166666666667,0.5166666666666667,665.1333333333333,0.0,0,1,0,slow
9/32243,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,2180600,44000.0,2136600.0,0.020177932679079153,682.5666666666667,0.55,676.4333333333333,0.0,0,1,0,slow
17/43745,2023-03-03,2023-03-03,12,Friday,CM Rạch Miễu,1,378000,8000.0,370000.0,0.021164021164021163,670.0166666666667,0.5666666666666667,662.9,0.0,0,1,0,slow
17/43728,2023-03-03,2023-03-03,11,Friday,CM Rạch Miễu,1,1055000,12000.0,1043000.0,0.011374407582938388,740.35,0.36666666666666664,732.0333333333333,0.0,0,1,0,slow
4/85578,2023-03-03,2023-03-03,11,Friday,CM Rạch Miễu,1,1039464,8000.0,1031464.0,0.007696274233643493,740.15,0.38333333333333336,733.4833333333333,0.0,0,1,0,slow
10/961,2023-03-03,2023-03-03,11,Friday,CM Rạch Miễu,1,568700,8000.0,560700.0,0.01406717074028486,739.9166666666666,0.4,733.2,0.0,0,1,0,slow
14/87136,2023-03-03,2023-03-03,11,Friday,CM Rạch Miễu,1,2135900,24000.0,2111900.0,0.011236481108666136,739.7,0.4166666666666667,731.35,0.0,0,1,0,slow
21/15617-21/15619,2023-03-03,2023-03-03,11,Friday,CM Rạch Miễu,1,6007400,48000.0,5959400.0,0.007990145487232413,739.4666666666667,0.43333333333333335,732.7,0.0,0,1,0,slow
5/33289-1,2023-03-03,2023-03-03,10,Friday,CM Rạch Miễu,1,3431000,28000.0,3403000.0,0.00816088603905567,808.4833333333333,0.6333333333333333,798.8333333333334,0.0,0,1,0,slow
9/32200,2023-03-03,2023-03-03,9,Friday,CM Rạch Miễu,1,1158000,28000.0,1130000.0,0.024179620034542316,881.05,0.36666666666666664,869.9166666666666,0.0,0,1,0,slow
9/32236,2023-03-03,2023-03-03,8,Friday,CM Rạch Miễu,1,329100,8000.0,321100.0,0.024308720753570344,891.5666666666667,0.35,882.0,0.0,0,1,0,slow
17/43630-5/33272,2023-03-03,2023-03-03,8,Friday,CM Rạch Miễu,1,2326119,24000.0,2302119.0,0.01031761487696889,891.9,0.35,881.6333333333333,0.0,0,1,0,slow
6/95084,2023-03-03,2023-03-03,8,Friday,CM Rạch Miễu,1,423000,16000.0,407000.0,0.037825059101654845,891.0666666666667,0.36666666666666664,880.6666666666666,0.0,0,1,0,slow
6/95296,2023-03-03,2023-03-03,8,Friday,CM Rạch Miễu,1,1190000,16000.0,1174000.0,0.013445378151260505,890.8,0.38333333333333336,881.3166666666667,0.0,0,1,0,slow
9/32217,2023-03-02,2023-03-02,15,Thursday,CM Rạch Miễu,1,2629800,24000.0,2605800.0,0.009126169290440338,166.48333333333332,0.36666666666666664,161.6,0.0,0,1,0,slow
6/95061,2023-03-02,2023-03-02,15,Thursday,CM Rạch Miễu,1,534000,8000.0,526000.0,0.0149812734082397,166.28333333333333,0.38333333333333336,158.35,0.0,0,1,0,slow
6/95086,2023-03-02,2023-03-02,15,Thursday,CM Rạch Miễu,1,655200,12000.0,643200.0,0.018315018315018316,166.08333333333334,0.4,160.08333333333334,0.0,0,1,0,slow
32204/9,2023-03-02,2023-03-02,13,Thursday,CM Rạch Miễu,1,366900,8000.0,358900.0,0.021804306350504225,313.75,0.45,303.4,0.0,0,1,0,slow
00490/10,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,1237500,12000.0,1225500.0,0.009696969696969697,365.18333333333334,0.8833333333333333,354.1666666666667,0.0,0,1,0,slow
85282/4,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,1530000,20000.0,1510000.0,0.013071895424836602,366.1333333333333,0.8333333333333334,347.1666666666667,0.0,0,1,0,slow
641/10,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,675561,8000.0,667561.0,0.011842009825907654,50.6,0.85,48.71666666666667,0.0,0,0,0,slow
32203/9,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,760400,8000.0,752400.0,0.010520778537611783,365.85,0.8833333333333333,351.8666666666667,0.0,0,1,0,slow
95001/6,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,1405445,12000.0,1393445.0,0.008538220990504787,365.6333333333333,0.9,351.03333333333336,0.0,0,1,0,slow
32199/9,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,474100,8000.0,466100.0,0.016874077198903183,365.4,0.9166666666666666,352.28333333333336,0.0,0,1,0,slow
62792/16,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,1053077,8000.0,1045077.0,0.007596785420249421,365.1333333333333,0.9333333333333333,351.3,0.0,0,1,0,slow
32207/9,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,269400,8000.0,261400.0,0.02969561989606533,364.8333333333333,0.95,347.8666666666667,0.0,0,1,0,slow
6701/12,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,2108931,16000.0,2092931.0,0.007586782118523555,364.55,0.9666666666666667,347.46666666666664,0.0,0,1,0,slow
32194/9,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,444100,8000.0,436100.0,0.018013960819635216,364.2,0.9833333333333333,348.1333333333333,0.0,0,1,0,slow
95026/6,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,2321800,20000.0,2301800.0,0.008614006374364717,363.93333333333334,1.0,352.95,0.0,0,1,0,slow
6667/12,2023-03-02,2023-03-02,12,Thursday,CM Rạch Miễu,1,727970,8000.0,719970.0,0.010989463851532343,363.56666666666666,1.0333333333333334,346.6666666666667,0.0,0,1,0,slow
89859/19,2023-03-02,2023-03-02,10,Thursday,CM Rạch Miễu,1,1304800,32000.0,1272800.0,0.024524831391784182,466.35,0.3,450.43333333333334,0.0,0,1,0,slow
32198/9,2023-03-02,2023-03-02,10,Thursday,CM Rạch Miễu,1,3915400,56000.0,3859400.0,0.01430249782908515,466.15,0.31666666666666665,450.18333333333334,0.0,0,1,0,slow
62770/16,2023-03-02,2023-03-02,10,Thursday,CM Rạch Miễu,1,5505800,40000.0,5465800.0,0.007265065930473319,473.3666666666667,0.65,457.8333333333333,0.0,0,1,0,slow
89742-1/19,2023-03-02,2023-03-02,9,Thursday,CM Rạch Miễu,1,3549900,32000.0,3517900.0,0.00901433843206851,534.0,0.45,524.3833333333333,0.0,0,1,0,slow
614/10,2023-03-02,2023-03-02,9,Thursday,CM Rạch Miễu,1,1037400,12000.0,1025400.0,0.01156737998843262,540.2,0.5833333333333334,523.25,0.0,0,1,0,slow
85155/4,2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,792500,8000.0,784500.0,0.010094637223974764,582.2833333333333,0.6666666666666666,572.7,0.0,0,1,0,slow
"571/10,32188/9",2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,3731700,32000.0,3699700.0,0.00857518021277166,580.4333333333333,0.6833333333333333,564.8,0.0,0,1,0,slow
00500/10,2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,1597547,16000.0,1581547.0,0.010015354790813667,579.8833333333333,0.7166666666666667,566.1166666666667,0.0,0,1,0,slow
6386/12,2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,255400,16000.0,239400.0,0.06264682850430697,578.5666666666667,0.7333333333333333,566.4,0.0,0,1,0,slow
94910/6,2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,3766600,44000.0,3722600.0,0.01168162268358732,578.35,0.75,562.0666666666667,0.0,0,1,0,slow
89722/19+89724/19,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,2260000,28000.0,2232000.0,0.012389380530973451,1598.2833333333333,0.5833333333333334,459.75,0.0,0,1,0,slow
6/94690,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,688177,20000.0,668177.0,0.029062290660687586,1691.3,0.5166666666666667,552.6166666666667,0.0,0,1,0,slow
14/86686,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,908138,8000.0,900138.0,0.008809233838909945,1691.0166666666667,0.55,552.3166666666667,0.0,0,1,0,slow
9/32164,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,342600,8000.0,334600.0,0.023350846468184472,1690.7666666666667,0.55,551.8833333333333,0.0,0,1,0,slow
6/94718,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,376100,8000.0,368100.0,0.02127093858016485,1690.1666666666667,0.5833333333333334,551.2666666666667,0.0,0,1,0,slow
12/06401,2023-03-01,2023-03-01,14,Wednesday,CM Rạch Miễu,1,894900,8000.0,886900.0,0.00893954631802436,1689.9166666666667,0.5833333333333334,551.5666666666667,0.0,0,1,0,slow
9/32163,2023-03-01,2023-03-01,10,Wednesday,CM Rạch Miễu,1,238300,8000.0,230300.0,0.03357112882920688,1878.6333333333334,0.3,738.0333333333333,0.0,0,1,0,slow
9/32158,2023-03-01,2023-03-01,10,Wednesday,CM Rạch Miễu,1,570900,8000.0,562900.0,0.014012961989840603,1897.7166666666667,0.6333333333333333,756.6833333333333,0.0,0,1,0,slow
9/32157,2023-03-01,2023-03-01,10,Wednesday,CM Rạch Miễu,1,790800,8000.0,782800.0,0.010116337885685382,1897.2833333333333,0.6666666666666666,758.1,0.0,0,1,0,slow
5/33230,2023-03-01,2023-03-01,10,Wednesday,CM Rạch Miễu,1,242000,12000.0,230000.0,0.049586776859504134,1897.0,0.6833333333333333,755.8833333333333,0.0,0,1,0,slow
8/95315,2023-03-01,2023-03-01,9,Wednesday,CM Rạch Miễu,1,1466800,28000.0,1438800.0,0.019089173711480775,1970.4666666666667,1.65,821.95,0.0,0,1,0,slow
9/321152,2023-03-01,2023-03-01,9,Wednesday,CM Rạch Miễu,1,742700,8000.0,734700.0,0.010771509357748755,1970.0,1.6833333333333333,824.9333333333333,0.0,0,1,0,slow
14/86607,2023-03-01,2023-03-01,9,Wednesday,CM Rạch Miễu,1,1630905,12000.0,1618905.0,0.007357877987988264,1969.45,1.7,823.5,0.0,0,1,0,slow
9/32149,2023-03-01,2023-03-01,9,Wednesday,CM Rạch Miễu,1,4327000,40000.0,4287000.0,0.009244280101687081,1969.1,1.7166666666666666,822.65,0.0,0,1,0,slow
9/32155,2023-03-01,2023-03-01,9,Wednesday,CM Rạch Miễu,1,1276200,20000.0,1256200.0,0.01567152483936687,836.6,1.7333333333333334,824.4,0.0,0,1,0,slow
10/771,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,1802313,16000.0,1786313.0,0.008877481325385768,40.083333333333336,0.8166666666666667,32.63333333333333,0.0,0,1,0,normal
20/71779,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,2877300,24000.0,2853300.0,0.008341153164424981,39.95,0.8333333333333334,32.36666666666667,0.0,0,1,0,normal
9/32208,2023-03-02,2023-03-02,19,Thursday,CM Rạch Miễu,1,433900,24000.0,409900.0,0.05531228393639087,39.8,0.85,32.916666666666664,0.6666666666666666,0,1,0,normal
6/95100,2023-03-02,2023-03-02,16,Thursday,CM Rạch Miễu,1,214900,8000.0,206900.0,0.03722661703117729,34.63333333333333,0.16666666666666666,1.0166666666666666,0.0,0,1,0,normal
10/703-19/90011,2023-03-02,2023-03-02,16,Thursday,CM Rạch Miễu,1,1447300,24000.0,1423300.0,0.016582602086644097,22.05,0.18333333333333332,0.7833333333333333,0.0,0,1,1,fast
20/71775,2023-03-02,2023-03-02,16,Thursday,CM Rạch Miễu,1,1544900,16000.0,1528900.0,0.010356657388827756,48.233333333333334,0.18333333333333332,0.9,0.0,0,1,0,slow
95648/8,2023-03-01,2023-03-01,20,Wednesday,CM Rạch Miễu,1,2625800,20000.0,2605800.0,0.007616726331022926,22.983333333333334,0.31666666666666665,17.483333333333334,0.0,0,1,1,fast
89745/19,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,3919900,48000.0,3871900.0,0.012245210336998392,54.46666666666667,0.26666666666666666,0.016666666666666666,9.433333333333334,0,1,0,slow
71646/20,2023-03-01,2023-03-01,18,Wednesday,CM Rạch Miễu,1,5617100,48000.0,5569100.0,0.008545334781292838,54.21666666666667,0.2833333333333333,0.016666666666666666,9.783333333333333,0,1,0,slow
06413/12,2023-03-01,2023-03-01,17,Wednesday,CM Rạch Miễu,1,216300,8000.0,208300.0,0.03698566805362922,120.75,0.43333333333333335,87.23333333333333,5.466666666666667,0,1,0,slow
86716/14,2023-03-01,2023-03-01,17,Wednesday,CM Rạch Miễu,1,236700,16000.0,220700.0,0.06759611322348964,151.16666666666666,0.45,87.23333333333333,0.6166666666666667,0,1,0,slow
86530/14,2023-03-01,2023-03-01,17,Wednesday,CM Rạch Miễu,1,433519,20000.0,413519.0,0.04613407947517871,150.81666666666666,0.48333333333333334,88.16666666666667,0.0,0,1,0,slow
86566/14,2023-03-01,2023-03-01,17,Wednesday,CM Rạch Miễu,1,314080,20000.0,294080.0,0.06367804381049415,151.55,0.5,87.23333333333333,5.216666666666667,0,1,0,slow
06398/12,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,763700,12000.0,751700.0,0.015712976299594082,38.983333333333334,0.3,1.15,0.08333333333333333,0,1,0,normal
89730/19,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,2017200,24000.0,1993200.0,0.01189767995240928,80.21666666666667,0.31666666666666665,1.0333333333333334,0.0,0,1,0,slow
94744/6,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,1472087,20000.0,1452087.0,0.013586153535762492,39.7,0.3333333333333333,0.8166666666666667,0.0,0,1,0,normal
95493/8,2023-03-01,2023-03-01,15,Wednesday,CM Rạch Miễu,1,749200,16000.0,733200.0,0.021356113187399894,39.333333333333336,0.35,0.65,0.0,0,1,0,normal
89742/2,2023-03-02,2023-03-02,9,Thursday,CM Rạch Miễu,1,3549900,32000.0,3517900.0,0.00901433843206851,541.4833333333333,0.2833333333333333,2.4,0.0,0,1,0,slow
89453-1/19,2023-03-02,2023-03-02,8,Thursday,CM Rạch Miễu,1,2040400,40000.0,2000400.0,0.01960399921584003,603.4,0.85,1.65,62.083333333333336,0,1,0,slow
90172/19,2023-03-03,2023-03-03,15,Friday,CM Rạch Miễu,1,1235600,12000.0,1223600.0,0.009711880867594691,10.666666666666666,0.2,1.55,8.05,0,1,1,very_fast
32238/9,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,382200,8000.0,374200.0,0.020931449502878074,50.483333333333334,0.6833333333333333,1.15,0.0,0,0,0,slow
"43813/17, 85645/4",2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,2625183,20000.0,2605183.0,0.007618516499611646,50.31666666666667,0.7166666666666667,0.9166666666666666,0.0,0,1,0,slow
90186/19,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,2046500,32000.0,2014500.0,0.015636452479843636,50.11666666666667,0.7333333333333333,0.6,0.0,0,1,0,slow
6/95371,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,2051275,16000.0,2035275.0,0.007800026812592168,27.916666666666668,0.26666666666666666,2.35,0.0,0,1,1,fast
10/1032,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,674030,8000.0,666030.0,0.011868907912110737,28.15,0.3,2.1666666666666665,0.0,0,1,1,fast
8/96087,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,678687,8000.0,670687.0,0.011787466092617068,28.383333333333333,0.31666666666666665,1.9666666666666666,0.0,0,1,1,fast
4/85606,2023-03-03,2023-03-03,14,Friday,CM Rạch Miễu,1,1167627,12000.0,1155627.0,0.010277254636968826,28.716666666666665,0.3333333333333333,1.7666666666666666,0.0,0,1,1,fast
